oreum_id,official_record_no,name,city,address,altitude_m,area_m2,shape,attachment_status,location_status,location_grade,lat,lon,permit_context_count,farmmap_state_grade,farmmap_class,farmmap_pnu,model_status,model_screen_class,rgb_review_label,rgb_persistent_change,official_causal_grade,selective_decision
JJ-OREUM-255,255,아부오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산164-1,301.4,314926.0,원형,corroborated,resolved_offline_osm_peak,C,33.4475648,126.7796798,3,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-256,256,아슴선이,서귀포시,제주특별자치도 서귀포시 표선면 하천리 2405,148.8,192921.0,원추형,not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-257,257,안돌오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산 66-2,368.1,298148.0,말굽형(동향),corroborated,resolved_offline_osm_peak,C,33.4576592,126.7558318,3,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-258,258,안세미,제주시,제주특별자치도 제주시 봉개동 산2,396.4,174311.0,말굽형(북동향),corroborated,resolved_offline_osm_peak,C,33.4674039,126.6072646,2,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-259,259,안오름,제주시,제주특별자치도 제주시 애월읍 고성리 1146,186.0,114268.0,원형,corroborated,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-260,260,안천이오름,제주시,제주특별자치도 제주시 애월읍 어음리 산124,742.0,156344.0,말굽형(북서향),corroborated,resolved_offline_osm_peak,C,33.3721529,126.4103723,1,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-261,261,안친오름,제주시,제주특별자치도 제주시 구좌읍 송당리 808,192.0,46443.0,말굽형(북향),corroborated,resolved_offline_osm_peak,C,33.4784779,126.7859492,3,C,밭,5011025625108120000,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-262,262,알밤,제주시,제주특별자치도 제주시 조천읍 선흘리 산 59-1,393.6,505969.0,말굽형(북서향),corroborated,resolved_offline_osm_peak,C,33.4911306,126.7126378,4,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-263,263,알방애오름,서귀포시,제주특별자치도 서귀포시 동홍동 산1,1584.8,214973.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.347343,126.5299312,0,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-264,264,알선족이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산14,291.2,45512.0,말굽형(동향),corroborated,unresolved,U,,,3,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-265,265,알오름,서귀포시,제주특별자치도 서귀포시 성산읍 시흥리 2665,145.9,142515.0,원추형,not_in_attachment_scope,ambiguous,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-266,266,알오름,제주시,제주특별자치도 제주시 건입동 387-1,96.2,35659.0,원추형,corroborated,resolved_offline_osm_peak,C,33.5191278,126.5495056,3,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-267,267,알오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산114,446.2,87253.0,원추형,corroborated,ambiguous,U,,,6,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-268,268,어대오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 509-1,210.5,117905.0,말굽형(북서향),corroborated,resolved_offline_osm_peak,C,33.49566,126.7608326,1,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-269,269,어도오름,제주시,제주특별자치도 제주시 애월읍 봉성리 3920-24,143.2,376225.0,말굽형(북향),corroborated,resolved_offline_osm_peak,C,33.4217561,126.3073451,0,C,과수,5011025338111490024,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-270,270,어스렁오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-1,1332.4,82247.0,원추형,corroborated,resolved_offline_osm_peak,C,33.3590468,126.4868191,7,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-271,271,어승생,제주시,제주특별자치도 제주시 해안동 220-1,1169.0,2543257.0,원형(화구호),corroborated,resolved_offline_osm_peak,C,33.396556,126.4892586,8,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-272,272,어오름,서귀포시,제주특별자치도 서귀포시 안덕면 상천리 산24,638.0,81238.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.3242139,126.4054472,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-273,273,어점이악,서귀포시,제주특별자치도 서귀포시 도순동 산1,820.1,41425.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.3108083,126.4990389,0,U,,,screen_complete_existing_v6,high_stable,cloud_haze_shadow,no,U,abstain
