PNU,위치명,지목명,면적(㎡),용도지역명,용도지구명,지자체코드,지자체명,개발행위코드,개발행위명,대표개발행위코드,대표개발행위명,신청일자,허가일자,개발행위목적
5011025627100010094,제주특별자치도 제주시 구좌읍 행원리 1-94 ,양어장,33629,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260417,20260529,건축물 위 태양광 설치
5011025927109410024,제주특별자치도 제주시 조천읍 북촌리 941-24,임야,26452,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260429,20260625,작업로 조성
5011025621111570000,제주특별자치도 제주시 구좌읍 동복리 1157,임야,1180,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260515,20260603,건축물 위 및 주차장 태양광
5011025930142030000,제주특별자치도 제주시 조천읍 선흘리 4203,도로,72294,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260522,20260730,국유재산(도로) 포장
5011025927101950000,제주특별자치도 제주시 조천읍 북촌리 195,전,1569,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260512,20260523,건축물 위 태양광 발전시설
5011031024131820000,제주특별자치도 제주시 한경면 판포리 3182,도로,204002,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260514,20260521,
5011031021117340008,제주특별자치도 제주시 한경면 청수리 1734-8 ,잡종지,4153,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260506,20260519,진출입로 포장
5011011700123430003,제주특별자치도 제주시 아라일동  2343-3,전,751,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260417,20260515,
5011031024131820000,제주특별자치도 제주시 한경면 판포리 3182,도로,204002,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260422,20260506,국유도로 포장
5011025025109980000,제주특별자치도 제주시 한림읍 금악리 998,전,6653,,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260409,20260429,태양광 발전소 조성
5011025025109980000,제주특별자치도 제주시 한림읍 금악리 998,전,6653,,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260409,20260429,태양광 발전소 조성
5011025025109980000,제주특별자치도 제주시 한림읍 금악리 998,전,6653,계획관리지역,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260409,20260429,태양광 발전소 조성
5011025328102490001,제주특별자치도 제주시 애월읍 소길리 249-1,전,4345,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260416,20260428,농지 개량(절성토)
5011012200124660009,제주특별자치도 제주시 노형동  2466-9 ,임야,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260421,20260425,대지확장
5011025324112920000,제주특별자치도 제주시 애월읍 구엄리 1292,도로,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260422,20260424,국유도로 포장
5011025325122670000,제주특별자치도 제주시 애월읍 수산리 2267,전,1817,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260312,20260423,노외주차장 조성
5011031028107050001,제주특별자치도 제주시 한경면 신창리 705-1,종교용지,9572,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260410,20260423,태양광 공작물 설치
5011031027100000000,제주특별자치도 제주시 한경면 두모리 0,잡종지,0,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260410,20260421,풍력발전기 정비작업
5011031026120400001,제주특별자치도 제주시 한경면 조수리 2040-1,잡종지,2238,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260403,20260421,태양광 공작물 재설치
5011025033100160000,제주특별자치도 제주시 한림읍 금능리 16 ,목장용지,11879,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260323,20260417,액비저장조
5011025336124030001,제주특별자치도 제주시 애월읍 어음리 2403-1,전,2599,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260416,20260520,노외주차장 개설
5011025334113880003,제주특별자치도 제주시 애월읍 애월리 1388-3,전,1385,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260220,20260415,노외주차장 조성
5011025025134530000,제주특별자치도 제주시 한림읍 금악리 3453,도로,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260401,20260414,국유도로 포장
5011025033104070005,제주특별자치도 제주시 한림읍 금능리 407-5,공장용지,6267.6,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260327,20260409,건물 위 태양광 공작물 설치
5011031029124000000,제주특별자치도 제주시 한경면 낙천리 2400,도로,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260327,20260409,국유도로 포장
5011025025109840001,제주특별자치도 제주시 한림읍 금악리 984-1,임야,688,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260406,20260406,태양괄 발전소 조성
5011012900103770000,제주특별자치도 제주시 도남동  377 ,대,3094,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260317,20260511,
5011033021125150009,제주특별자치도 제주시 우도면 연평리 2515-9,전,99,계획관리지역,자연취락지구,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260403,20260730,주차장조성
5011025627135590000,제주특별자치도 제주시 구좌읍 행원리 3559,도로,225587,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260325,20260727,국유재산(도로) 포장
5011012800110850000,제주특별자치도 제주시 도두이동  1085,과수원,2334,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260324,20260611,렌터카차고지 조성
5011012100129730008,제주특별자치도 제주시 오라삼동  2973-8,과수원,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260317,20260409,노외주차장 조성
